CountryID,country,year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,ISIC A-B,Changes in inventories,ISIC F,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,ISIC D,ISIC C-E,ISIC J-P,Total Value Added,ISIC I,ISIC G-H,Gross National Income(GNI) in USD,gdp
31, Azerbaijan ,1990,4.50E-05,0.0666,7427836, Azerbaijanian Manat ,878,1766506445,409486789,527308721,2858849135,4573714005,1147541154,1730426257,1320939468,3426172851,2557402834,1148874987,1430758401,1484378495,5951897147,528197943,214747143,6517998183,6517998183
31, Azerbaijan ,1991,7.99E-05,0.175,7538267, Azerbaijanian Manat ,888,2080824233,-558939945,412944431,3054887274,4696397732,1299435205,206847847,765787793,3396962527,2756886138,1114624416,1568137069,1583487884,6315019699,413194852,256431229,6691252394,6691252394
31, Azerbaijan ,1992,0.000909958,0.01084,7643338, Azerbaijanian Manat ,693,1408379614,-1192318112,380786597,4566274180,4320197024,938636213,-36617055,1155701058,3381560810,2892022001,1158866037,1554598370,1079997605,4976535747,275419154,277353308,5297054760,5297054760
31, Azerbaijan ,1993,0.007533967,0.019995,7740107, Azerbaijanian Manat ,539,1142725700,35166067,303638166,2394913516,3994086913,1256177481,908477535,873311468,2737909433,3168689112,746140753,1036229617,1203353386,4232591136,332679970,213964296,4171640114,4169970343
31, Azerbaijan ,1994,0.109493611,0.314045,7821880, Azerbaijanian Manat ,438,1115185027,-374573452,249528714,2185902876,3420566692,804580275,524030574,898604026,2615986416,2708589079,433402455,696751884,832610596,3521928368,420198032,207654124,3423802679,3421911062
31, Azerbaijan ,1995,0.692611811,0.8827085,7889330, Azerbaijanian Manat ,390,780812558,250645451,114638530,1000849233,2992729789,394160185,732589297,481943846,2598569603,1645366107,355350567,840326414,451277317,2904628490,534787299,182786372,3075835504,3080802211
31, Azerbaijan ,1996,0.860252833,0.860252833,7949101, Azerbaijanian Manat ,398,792906427,-3417600,295703763,791860222,3166975910,381748234,921147794,924565394,2785227676,1776314986,331297950,820781952,471094060,2889383102,325113721,183783178,3167324645,3176554490
31, Azerbaijan ,1997,0.797075,0.797075,8000061, Azerbaijanian Manat ,494,797515918,-109174168,462290249,1150456356,3450365398,499752219,1356509739,1465683907,2950613179,2101859925,332591036,1003443842,746654957,3682313459,416021077,256387416,3953203902,3962337296
31, Azerbaijan ,1998,0.773799687,0.773799687,8041096, Azerbaijanian Manat ,555,806978874,-95451060,576195633,1009382678,4231172559,674024569,1483665631,1579116690,3557147990,2424555130,370121628,978030895,1116335422,4288293285,533342165,277410296,4461490563,4446396218
31, Azerbaijan ,1999,0.824033333,0.824033333,8101449, Azerbaijanian Manat ,589,842902795,-92302091,498377897,1281355932,4186772380,715310869,1213834392,1306136483,3471461510,1917495247,276784920,1292957405,973577121,4423049229,490878201,324355811,4768011003,4581222442
31, Azerbaijan ,2000,0.89483075,0.89483075,8190337, Azerbaijanian Manat ,632,848115691,-129856959,344199168,2118121220,4194938540,798810278,1090060886,1219917845,3396128262,2023533501,279047183,1898683075,901131303,4977879895,633751131,351999526,5178074178,5272617196
31, Azerbaijan ,2001,0.931316667,0.931316667,8282023, Azerbaijanian Manat ,672,846865549,-125886290,333613701,2368668015,4288723850,778897260,1180071225,1305957515,3509826590,2129844843,353155926,2147067771,944254550,5295513520,578643140,445068809,5562876931,5707618247
31, Azerbaijan ,2002,0.972164167,0.972164167,8372127, Azerbaijanian Manat ,722,870223393,30961849,543118146,2667018688,4696038135,773511333,2156179040,2125217192,3922526802,3121057229,463399100,2335099439,918980591,5772378979,614196676,490760734,6042086513,6236045524
31, Azerbaijan ,2003,0.982146,0.982146,8462322, Azerbaijanian Manat ,830,904142561,21055933,816579205,3056551674,5264940243,901434206,3868834165,3847778233,4363506037,4769290920,628419807,2715380402,1045974835,6759076553,726775856,550223694,7024617521,7276413079
31, Azerbaijan ,2004,0.9826955,0.9826955,8556164, Azerbaijanian Manat ,954,953805121,24341213,1080802751,4235106399,5964512914,1119817889,5033787170,5009445958,4844695025,6312270688,719042674,3326157492,1266414673,8121030370,826705729,667144604,8166822785,8680410158
31, Azerbaijan ,2005,0.945421,0.945421,8656237, Azerbaijanian Manat ,1356,1203590781,29933754,1191849980,8336815027,6959545007,1380443210,5501464427,5471530673,5579101797,7006931304,859299719,6559934675,1516996132,12320966004,970149806,878444629,11734666355,13245421881
31, Azerbaijan ,2006,0.893445,0.893445,8763353, Azerbaijanian Manat ,2108,1487948335,33242113,1617894778,13953852783,9576750667,1791828260,6265075075,6231832961,7784922407,8132229740,1211266502,12052560594,2262030679,20050142986,1391132079,1238576521,18470079300,20981929498
31, Azerbaijan ,2007,0.858123808,0.858123808,8878411, Azerbaijanian Manat ,3178,2215298051,41485855,2127198876,22516214810,14231629379,3192662846,7113891890,7072406035,11038966533,9423348848,1647198209,19725475319,2912283724,31217290259,2417949461,1819084828,28219354559,33049426816
31, Azerbaijan ,2008,0.821619579,0.821619579,8999696, Azerbaijanian Manat ,4870,2733625218,56108692,3408268342,32132510811,20483689086,4149974134,9132085205,9075976513,16333714952,11463821265,2298752426,28692110810,5143864763,46285776263,3263919299,3043987831,43831112265,48851318826
31, Azerbaijan ,2009,0.803783333,0.803783333,9119628, Azerbaijanian Manat ,4498,2711551620,57229353,3177846435,22870715574,23864764551,4926825222,8392809007,8335579655,18937939329,10235220934,2447550128,21784726398,6618574657,41504219628,3821925477,3389595040,41022871006,44292408817
31, Azerbaijan ,2010,0.80265,0.80265,9237202, Azerbaijanian Manat ,5385,2921073943,-56687224,4285429515,28730455367,26582071887,5756930169,9554600386,9611287610,20825141718,10941630848,2506571980,27337195540,6895159783,49322245063,3937332586,3946053697,49737992899,52905998879
31, Azerbaijan ,2011,0.789686389,0.789686389,9359014, Azerbaijanian Manat ,6565,3347531422,59517298,5243853836,37215153273,31252533091,6679487040,13367205195,13307687897,24573046051,15882127610,2630411299,35470663284,8487166671,62082873264,4416563397,5117094655,61440972876,65952763949
31, Azerbaijan ,2012,0.785645349,0.785645349,9485576, Azerbaijanian Manat ,6930,3581386948,-96481192,7010669641,36912711340,34837856571,7334479869,15550273426,15646754618,27503376701,17620927826,2955277469,34418074286,9927634658,65362443799,4631479080,5793199187,65735385610,69679913510
31, Azerbaijan ,2013,0.784541075,0.784541075,9614478, Azerbaijanian Manat ,7330,3979651415,-100823274,8608472154,35905449553,38701606528,7626114411,19028066816,19128890090,31075492117,19474569888,3126413743,33703397863,11710667917,69217535846,4564196972,6651149525,70472282131,74160553009
31, Azerbaijan ,2014,0.7843475,0.7843475,9741880, Azerbaijanian Manat ,7502,4002307651,59922420,9503950736,32558910432,42377645113,8190502296,20698478672,20638556252,34187142816,19720085804,3541542492,30814658044,12991945534,69613404773,4751465390,7549077418,73082912867,75239737489
31, Azerbaijan ,2015,1.024563819,1.024563819,9863480, Azerbaijanian Manat ,5209,3278858710,46849205,6343675116,20060048606,36674826223,6585826942,14815475352,14768626147,30088999281,18474105426,2648932112,17482951941,10462501023,48333738810,4225798258,6539953762,51379132316,53076244755
31, Azerbaijan ,2016,1.595721573,1.595721573,9976248, Azerbaijanian Manat ,3568,2122425402,244904880,3972434859,17580761256,27090252297,4859118365,9724816826,9479911946,22231133931,16528823356,1852704163,14036283261,6624150592,34782822360,3217227922,4810300325,35591422070,37867007023
31, Azerbaijan ,2017,1.721154802,1.721154802,10071567, Azerbaijanian Manat ,3904,2291542861,229555180,3922134134,19839877247,28168413403,4634795191,9962845862,9733290683,23533618212,17104504465,1920512900,16389286985,6746865526,37959049305,3406201460,5203018339,39321622850,40866632048
31, Azerbaijan ,2018,1.700016667,1.700016667,10152522, Azerbaijanian Manat ,4418,2455740630,-265997392,3637258458,25484220743,30437995706,4931010480,9483495260,9749492652,25506985226,17705002892,2176508073,20979264909,7168106195,43466456211,3637140812,5588945206,44853089676,47112479289
31, Azerbaijan ,2019,1.7,1.7,10232753, Azerbaijanian Manat ,4526,2743647059,-395882353,3587529412,23629764706,33062058824,5358647059,9783117647,10179000000,27703411765,17712470588,2410470588,19932882353,7870235294,43843352941,3729000000,5980058824,46318529412,48174235294
31, Azerbaijan ,2020,1.7,1.7,10284951, Azerbaijanian Manat ,4125,2877058824,426705882,3363823529,15208764706,32918352941,6924352941,10103705882,9677000000,25994000000,15537823529,2604941176,14548588235,8516882353,38664529412,3948941176,5409235294,42422882353,42693000000
31, Azerbaijan ,2021,1.7,1.7,10312992, Azerbaijanian Manat ,5263,3209882353,397470588,3218176471,25487647059,36014411765,7338176471,9457058824,9059588235,28676235294,16336941176,3727705882,23233882353,9395588235,50008000000,4723294118,6227176471,54276583194,54622176471
40, Austria ,1970,1.88949369,1.88949369,7465301, Euro ,2069,1070624590,,1274548516,4210950289,10676680798,2200714414,4771511039,4184615721,8475966384,4222768799,4398664412,5011171290,3590158704,14464941177,1252595100,2265842978,15443685338,15373056894
40, Austria ,1971,1.815773195,1.815773195,7498541, Euro ,2394,1086434178,,1596314261,4828176241,12452145489,2570411884,5541822088,5238139337,9881733605,4883495926,5089526769,5718958966,4193556444,16719788223,1410951607,2713572767,17953659680,17858749698
40, Austria ,1972,1.679856786,1.679856786,7542077, Euro ,2937,1318676804,,2148302957,5940953469,15208021430,3142377996,7058893412,7018595334,12065643434,6036846167,6179610767,6981026724,5042504556,20602150344,1750562221,3361077082,22152856904,22060179956
40, Austria ,1973,1.422934093,1.422934093,7584023, Euro ,3906,1729933786,,2628412395,7945186679,20331724529,4334758040,9516794957,8861086443,15996966488,8127613259,7684478894,8776034354,6626924284,25680247558,2191891888,3727050852,29621198346,29514760528
40, Austria ,1974,1.358436953,1.358436953,7597030, Euro ,4655,1910846322,,3141316206,10244864124,24387329818,5400896954,11444685725,10524605483,18986432863,10716033580,9202476300,10551280028,8148516609,30860714722,2523213823,4585541733,35365628790,35188342682
40, Austria ,1975,1.265724584,1.265724584,7576926, Euro ,5310,2050192904,,3597373769,11254269827,29423520297,6725801256,10879312269,11244091467,22697719040,11418454044,9728838420,11357743479,10037690135,35447344891,2947743815,5456600789,40231907183,40058428685
40, Austria ,1976,1.303726421,1.303726421,7563511, Euro ,5696,2193628859,433692216,3220526971,12351828378,31925675005,7381134453,12248406374,11814714158,24544540552,13387670698,9559573314,11384965638,11233663189,38144935865,3479915904,6632235305,43081970351,42959105617
40, Austria ,1977,1.201057874,1.201057874,7566358, Euro ,6827,2273317597,687464791,3959244265,14409584561,38676444324,8768709008,15310267220,14622802429,29907735316,16662049707,11147996269,13361875348,13828771417,45686757882,4220281004,8043268253,51652386062,51547566800
40, Austria ,1978,1.055330673,1.055330673,7560249, Euro ,8219,2739288048,87519488,4764693500,18066047429,45790092353,10955761347,16460588550,16373069062,34834331007,18958210449,13643877376,16234659459,17219370342,55139924162,4880452029,9301460785,62139985741,62050455509
40, Austria ,1979,0.971454111,0.971454111,7547481, Euro ,9815,3171265494,1982393176,5443097355,22833489257,54201680162,12955974823,21697599267,19715206091,41245705339,23983762839,15787795770,18896760946,20368766247,65788304354,6162859800,11745554513,74075257089,73940789595
40, Austria ,1980,0.940241128,0.940241128,7547561, Euro ,10883,3550043812,1135382157,6091052632,26005852394,60725107928,14387698635,23616203684,22480821527,46337409292,28827622172,17398376231,20935760100,22831656637,72977305638,6734249507,12834542949,82143608344,82055323544
