, CountryID , Country , Year , AMA exchange rate , IMF based exchange rate , Population , Currency , Per capita GNI ," Agriculture, hunting, forestry, fishing (ISIC A-B) ", Changes in inventories , Construction (ISIC F) , Exports of goods and services , Final consumption expenditure , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Household consumption expenditure (including Non-profit institutions serving households) , Imports of goods and services , Manufacturing (ISIC D) ," Mining, Manufacturing, Utilities (ISIC C-E) ", Other Activities (ISIC J-P) , Total Value Added ," Transport, storage and communication (ISIC I) "," Wholesale, retail trade, restaurants and hotels (ISIC G-H) ", Gross National Income(GNI) in USD , Gross Domestic Product (GDP) 
312,31, Azerbaijan ,1990,4.5e-05,0.0666,7427836, Azerbaijanian Manat ,878,1766506445.0,409486789.0,527308721.0,2858849135.0,4573714005.0,1147541154.0,1730426257.0,1320939468.0,3426172851.0,2557402834.0,1148874987.0,1430758401.0,1484378495.0,5951897147.0,528197943.0,214747143.0,6517998183.0,6517998183.0
313,31, Azerbaijan ,1991,7.99e-05,0.175,7538267, Azerbaijanian Manat ,888,2080824233.0,-558939945.0,412944431.0,3054887274.0,4696397732.0,1299435205.0,206847847.0,765787793.0,3396962527.0,2756886138.0,1114624416.0,1568137069.0,1583487884.0,6315019699.0,413194852.0,256431229.0,6691252394.0,6691252394.0
314,31, Azerbaijan ,1992,0.000909958,0.01084,7643338, Azerbaijanian Manat ,693,1408379614.0,-1192318112.0,380786597.0,4566274180.0,4320197024.0,938636213.0,-36617055.0,1155701058.0,3381560810.0,2892022001.0,1158866037.0,1554598370.0,1079997605.0,4976535747.0,275419154.0,277353308.0,5297054760.0,5297054760.0
315,31, Azerbaijan ,1993,0.007533967,0.019995,7740107, Azerbaijanian Manat ,539,1142725700.0,35166067.0,303638166.0,2394913516.0,3994086913.0,1256177481.0,908477535.0,873311468.0,2737909433.0,3168689112.0,746140753.0,1036229617.0,1203353386.0,4232591136.0,332679970.0,213964296.0,4171640114.0,4169970343.0
316,31, Azerbaijan ,1994,0.109493611,0.314045,7821880, Azerbaijanian Manat ,438,1115185027.0,-374573452.0,249528714.0,2185902876.0,3420566692.0,804580275.0,524030574.0,898604026.0,2615986416.0,2708589079.0,433402455.0,696751884.0,832610596.0,3521928368.0,420198032.0,207654124.0,3423802679.0,3421911062.0
317,31, Azerbaijan ,1995,0.692611811,0.8827085,7889330, Azerbaijanian Manat ,390,780812558.0,250645451.0,114638530.0,1000849233.0,2992729789.0,394160185.0,732589297.0,481943846.0,2598569603.0,1645366107.0,355350567.0,840326414.0,451277317.0,2904628490.0,534787299.0,182786372.0,3075835504.0,3080802211.0
318,31, Azerbaijan ,1996,0.860252833,0.860252833,7949101, Azerbaijanian Manat ,398,792906427.0,-3417600.0,295703763.0,791860222.0,3166975910.0,381748234.0,921147794.0,924565394.0,2785227676.0,1776314986.0,331297950.0,820781952.0,471094060.0,2889383102.0,325113721.0,183783178.0,3167324645.0,3176554490.0
319,31, Azerbaijan ,1997,0.797075,0.797075,8000061, Azerbaijanian Manat ,494,797515918.0,-109174168.0,462290249.0,1150456356.0,3450365398.0,499752219.0,1356509739.0,1465683907.0,2950613179.0,2101859925.0,332591036.0,1003443842.0,746654957.0,3682313459.0,416021077.0,256387416.0,3953203902.0,3962337296.0
320,31, Azerbaijan ,1998,0.773799687,0.773799687,8041096, Azerbaijanian Manat ,555,806978874.0,-95451060.0,576195633.0,1009382678.0,4231172559.0,674024569.0,1483665631.0,1579116690.0,3557147990.0,2424555130.0,370121628.0,978030895.0,1116335422.0,4288293285.0,533342165.0,277410296.0,4461490563.0,4446396218.0
321,31, Azerbaijan ,1999,0.824033333,0.824033333,8101449, Azerbaijanian Manat ,589,842902795.0,-92302091.0,498377897.0,1281355932.0,4186772380.0,715310869.0,1213834392.0,1306136483.0,3471461510.0,1917495247.0,276784920.0,1292957405.0,973577121.0,4423049229.0,490878201.0,324355811.0,4768011003.0,4581222442.0
322,31, Azerbaijan ,2000,0.89483075,0.89483075,8190337, Azerbaijanian Manat ,632,848115691.0,-129856959.0,344199168.0,2118121220.0,4194938540.0,798810278.0,1090060886.0,1219917845.0,3396128262.0,2023533501.0,279047183.0,1898683075.0,901131303.0,4977879895.0,633751131.0,351999526.0,5178074178.0,5272617196.0
323,31, Azerbaijan ,2001,0.931316667,0.931316667,8282023, Azerbaijanian Manat ,672,846865549.0,-125886290.0,333613701.0,2368668015.0,4288723850.0,778897260.0,1180071225.0,1305957515.0,3509826590.0,2129844843.0,353155926.0,2147067771.0,944254550.0,5295513520.0,578643140.0,445068809.0,5562876931.0,5707618247.0
324,31, Azerbaijan ,2002,0.972164167,0.972164167,8372127, Azerbaijanian Manat ,722,870223393.0,30961849.0,543118146.0,2667018688.0,4696038135.0,773511333.0,2156179040.0,2125217192.0,3922526802.0,3121057229.0,463399100.0,2335099439.0,918980591.0,5772378979.0,614196676.0,490760734.0,6042086513.0,6236045524.0
325,31, Azerbaijan ,2003,0.982146,0.982146,8462322, Azerbaijanian Manat ,830,904142561.0,21055933.0,816579205.0,3056551674.0,5264940243.0,901434206.0,3868834165.0,3847778233.0,4363506037.0,4769290920.0,628419807.0,2715380402.0,1045974835.0,6759076553.0,726775856.0,550223694.0,7024617521.0,7276413079.0
326,31, Azerbaijan ,2004,0.9826955,0.9826955,8556164, Azerbaijanian Manat ,954,953805121.0,24341213.0,1080802751.0,4235106399.0,5964512914.0,1119817889.0,5033787170.0,5009445958.0,4844695025.0,6312270688.0,719042674.0,3326157492.0,1266414673.0,8121030370.0,826705729.0,667144604.0,8166822785.0,8680410158.0
327,31, Azerbaijan ,2005,0.945421,0.945421,8656237, Azerbaijanian Manat ,1356,1203590781.0,29933754.0,1191849980.0,8336815027.0,6959545007.0,1380443210.0,5501464427.0,5471530673.0,5579101797.0,7006931304.0,859299719.0,6559934675.0,1516996132.0,12320966004.0,970149806.0,878444629.0,11734666355.0,13245421881.0
328,31, Azerbaijan ,2006,0.893445,0.893445,8763353, Azerbaijanian Manat ,2108,1487948335.0,33242113.0,1617894778.0,13953852783.0,9576750667.0,1791828260.0,6265075075.0,6231832961.0,7784922407.0,8132229740.0,1211266502.0,12052560594.0,2262030679.0,20050142986.0,1391132079.0,1238576521.0,18470079300.0,20981929498.0
